date,district,reservoir_level_pct,capacity_mcft
2023-01-01,Vijayawada,55.18,997
2023-01-02,Vijayawada,54.96,997
2023-01-03,Vijayawada,54.84,997
2023-01-04,Vijayawada,54.6,997
2023-01-05,Vijayawada,54.26,997
2023-01-06,Vijayawada,53.8,997
2023-01-07,Vijayawada,53.27,997
2023-01-08,Vijayawada,52.53,997
2023-01-09,Vijayawada,52.08,997
2023-01-10,Vijayawada,51.63,997
2023-01-11,Vijayawada,51.49,997
2023-01-12,Vijayawada,51.37,997
2023-01-13,Vijayawada,50.88,997
2023-01-14,Vijayawada,50.47,997
2023-01-15,Vijayawada,49.79,997
2023-01-16,Vijayawada,49.57,997
2023-01-17,Vijayawada,49.46,997
2023-01-18,Vijayawada,49.04,997
2023-01-19,Vijayawada,48.78,997
2023-01-20,Vijayawada,48.64,997
2023-01-21,Vijayawada,48.03,997
2023-01-22,Vijayawada,47.86,997
2023-01-23,Vijayawada,47.33,997
2023-01-24,Vijayawada,47.03,997
2023-01-25,Vijayawada,46.81,997
2023-01-26,Vijayawada,46.45,997
2023-01-27,Vijayawada,45.79,997
2023-01-28,Vijayawada,45.41,997
2023-01-29,Vijayawada,44.79,997
2023-01-30,Vijayawada,44.6,997
2023-01-31,Vijayawada,43.96,997
2023-02-01,Vijayawada,43.69,997
2023-02-02,Vijayawada,43.12,997
2023-02-03,Vijayawada,42.62,997
2023-02-04,Vijayawada,41.87,997
2023-02-05,Vijayawada,41.5,997
2023-02-06,Vijayawada,41.35,997
2023-02-07,Vijayawada,41.24,997
2023-02-08,Vijayawada,40.56,997
2023-02-09,Vijayawada,40.09,997
2023-02-10,Vijayawada,39.45,997
2023-02-11,Vijayawada,39.19,997
2023-02-12,Vijayawada,38.84,997
2023-02-13,Vijayawada,38.72,997
2023-02-14,Vijayawada,37.95,997
2023-02-15,Vijayawada,37.38,997
2023-02-16,Vijayawada,36.63,997
2023-02-17,Vijayawada,36.34,997
2023-02-18,Vijayawada,35.82,997
2023-02-19,Vijayawada,35.24,997
2023-02-20,Vijayawada,34.92,997
2023-02-21,Vijayawada,34.23,997
2023-02-22,Vijayawada,33.46,997
2023-02-23,Vijayawada,32.74,997
2023-02-24,Vijayawada,32.13,997
2023-02-25,Vijayawada,31.83,997
2023-02-26,Vijayawada,31.53,997
