date,district,rainfall_mm,rolling_7d,reservoir_level_pct,capacity_mcft,flood
2023-01-01,Eluru,0.24,0.24,58.94,542,0
2023-01-02,Eluru,1.47,1.71,58.26,542,0
2023-01-03,Eluru,4.88,6.59,57.91,542,0
2023-01-04,Eluru,6.96,13.55,57.43,542,0
2023-01-05,Eluru,0.68,14.23,56.86,542,0
2023-01-06,Eluru,0.21,14.44,56.27,542,0
2023-01-07,Eluru,6.3,20.74,55.5,542,0
2023-01-08,Eluru,1.48,21.98,55.02,542,0
2023-01-09,Eluru,2.34,22.849999999999998,54.64,542,0
2023-01-10,Eluru,10.33,28.299999999999997,53.88,542,0
2023-01-11,Eluru,0.21,21.549999999999997,53.33,542,0
2023-01-12,Eluru,3.14,24.009999999999998,53.02,542,0
2023-01-13,Eluru,0.23,24.029999999999998,52.83,542,0
2023-01-14,Eluru,1.41,19.14,52.14,542,0
2023-01-15,Eluru,4.89,22.55,51.79,542,0
2023-01-16,Eluru,1.7,21.91,51.22,542,0
2023-01-17,Eluru,17.62,29.200000000000003,50.79,542,0
2023-01-18,Eluru,2.46,31.45,50.56,542,0
2023-01-19,Eluru,1.16,29.47,50.03,542,0
2023-01-20,Eluru,0.75,29.99,49.89,542,0
2023-01-21,Eluru,1.29,29.87,49.5,542,0
2023-01-22,Eluru,1.4,26.38,49.02,542,0
2023-01-23,Eluru,0.21,24.89,48.61,542,0
2023-01-24,Eluru,1.38,8.65,47.99,542,0
2023-01-25,Eluru,1.87,8.06,47.31,542,0
2023-01-26,Eluru,3.85,10.75,46.67,542,0
2023-01-27,Eluru,3.21,13.21,46.54,542,0
2023-01-28,Eluru,3.7,15.620000000000001,46.31,542,0
2023-01-29,Eluru,0.03,14.25,45.83,542,0
2023-01-30,Eluru,0.74,14.78,45.08,542,0
2023-01-31,Eluru,3.25,16.650000000000002,44.39,542,0
2023-02-01,Eluru,1.98,16.759999999999998,43.7,542,0
2023-02-02,Eluru,0.02,12.93,43.39,542,0
2023-02-03,Eluru,4.9,14.62,42.99,542,0
2023-02-04,Eluru,4.45,15.370000000000001,42.56,542,0
2023-02-05,Eluru,2.39,17.73,42.35,542,0
2023-02-06,Eluru,0.21,17.2,42.23,542,0
2023-02-07,Eluru,4.36,18.310000000000002,41.47,542,0
2023-02-08,Eluru,2.63,18.96,41.2,542,0
2023-02-09,Eluru,4.57,23.51,40.93,542,0
